"id.A","id.B","relationship","survey.date"
45,38,"FacebookAllTaggedPhotos","2008-09-09"
23,38,"FacebookAllTaggedPhotos","2008-09-09"
43,38,"FacebookAllTaggedPhotos","2008-09-09"
37,38,"BlogLivejournalTwitter","2008-09-09"
72,38,"BlogLivejournalTwitter","2008-09-09"
63,38,"BlogLivejournalTwitter","2008-09-09"
59,38,"BlogLivejournalTwitter","2008-09-09"
9,38,"BlogLivejournalTwitter","2008-09-09"
44,38,"BlogLivejournalTwitter","2008-09-09"
64,38,"BlogLivejournalTwitter","2008-09-09"
6,38,"BlogLivejournalTwitter","2008-09-09"
46,38,"BlogLivejournalTwitter","2008-09-09"
14,38,"BlogLivejournalTwitter","2008-09-09"
28,38,"BlogLivejournalTwitter","2008-09-09"
65,38,"BlogLivejournalTwitter","2008-09-09"
18,38,"BlogLivejournalTwitter","2008-09-09"
57,38,"BlogLivejournalTwitter","2008-09-09"
45,38,"BlogLivejournalTwitter","2008-09-09"
70,38,"BlogLivejournalTwitter","2008-09-09"
23,38,"BlogLivejournalTwitter","2008-09-09"
43,38,"BlogLivejournalTwitter","2008-09-09"
68,40,"CloseFriend","2008-09-09"
23,40,"CloseFriend","2008-09-09"
49,40,"CloseFriend","2008-09-09"
36,40,"SocializeTwicePerWeek","2008-09-09"
72,40,"SocializeTwicePerWeek","2008-09-09"
59,40,"SocializeTwicePerWeek","2008-09-09"
47,40,"SocializeTwicePerWeek","2008-09-09"
52,40,"SocializeTwicePerWeek","2008-09-09"
29,40,"SocializeTwicePerWeek","2008-09-09"
9,40,"SocializeTwicePerWeek","2008-09-09"
44,40,"SocializeTwicePerWeek","2008-09-09"
67,40,"SocializeTwicePerWeek","2008-09-09"
6,40,"SocializeTwicePerWeek","2008-09-09"
19,40,"SocializeTwicePerWeek","2008-09-09"
30,40,"SocializeTwicePerWeek","2008-09-09"
46,40,"SocializeTwicePerWeek","2008-09-09"
32,40,"SocializeTwicePerWeek","2008-09-09"
14,40,"SocializeTwicePerWeek","2008-09-09"
38,40,"SocializeTwicePerWeek","2008-09-09"
28,40,"SocializeTwicePerWeek","2008-09-09"
26,40,"SocializeTwicePerWeek","2008-09-09"
10,40,"SocializeTwicePerWeek","2008-09-09"
65,40,"SocializeTwicePerWeek","2008-09-09"
18,40,"SocializeTwicePerWeek","2008-09-09"
54,40,"SocializeTwicePerWeek","2008-09-09"
20,40,"SocializeTwicePerWeek","2008-09-09"
62,40,"SocializeTwicePerWeek","2008-09-09"
45,40,"SocializeTwicePerWeek","2008-09-09"
70,40,"SocializeTwicePerWeek","2008-09-09"
23,40,"SocializeTwicePerWeek","2008-09-09"
49,40,"SocializeTwicePerWeek","2008-09-09"
59,40,"PoliticalDiscussant","2008-09-09"
44,40,"PoliticalDiscussant","2008-09-09"
60,40,"PoliticalDiscussant","2008-09-09"
10,40,"PoliticalDiscussant","2008-09-09"
18,40,"PoliticalDiscussant","2008-09-09"
49,40,"PoliticalDiscussant","2008-09-09"
39,40,"FacebookAllTaggedPhotos","2008-09-09"
37,40,"FacebookAllTaggedPhotos","2008-09-09"
63,40,"FacebookAllTaggedPhotos","2008-09-09"
47,40,"FacebookAllTaggedPhotos","2008-09-09"
50,40,"FacebookAllTaggedPhotos","2008-09-09"
9,40,"FacebookAllTaggedPhotos","2008-09-09"
44,40,"FacebookAllTaggedPhotos","2008-09-09"
83,40,"FacebookAllTaggedPhotos","2008-09-09"
14,40,"FacebookAllTaggedPhotos","2008-09-09"
38,40,"FacebookAllTaggedPhotos","2008-09-09"
28,40,"FacebookAllTaggedPhotos","2008-09-09"
26,40,"FacebookAllTaggedPhotos","2008-09-09"
22,40,"FacebookAllTaggedPhotos","2008-09-09"
65,40,"FacebookAllTaggedPhotos","2008-09-09"
18,40,"FacebookAllTaggedPhotos","2008-09-09"
54,40,"FacebookAllTaggedPhotos","2008-09-09"
20,40,"FacebookAllTaggedPhotos","2008-09-09"
62,40,"FacebookAllTaggedPhotos","2008-09-09"
45,40,"FacebookAllTaggedPhotos","2008-09-09"
23,40,"FacebookAllTaggedPhotos","2008-09-09"
43,40,"FacebookAllTaggedPhotos","2008-09-09"
49,40,"FacebookAllTaggedPhotos","2008-09-09"
37,40,"BlogLivejournalTwitter","2008-09-09"
72,40,"BlogLivejournalTwitter","2008-09-09"
63,40,"BlogLivejournalTwitter","2008-09-09"
59,40,"BlogLivejournalTwitter","2008-09-09"
47,40,"BlogLivejournalTwitter","2008-09-09"
9,40,"BlogLivejournalTwitter","2008-09-09"
44,40,"BlogLivejournalTwitter","2008-09-09"
6,40,"BlogLivejournalTwitter","2008-09-09"
14,40,"BlogLivejournalTwitter","2008-09-09"
38,40,"BlogLivejournalTwitter","2008-09-09"
28,40,"BlogLivejournalTwitter","2008-09-09"
26,40,"BlogLivejournalTwitter","2008-09-09"
22,40,"BlogLivejournalTwitter","2008-09-09"
65,40,"BlogLivejournalTwitter","2008-09-09"
18,40,"BlogLivejournalTwitter","2008-09-09"
20,40,"BlogLivejournalTwitter","2008-09-09"
62,40,"BlogLivejournalTwitter","2008-09-09"
45,40,"BlogLivejournalTwitter","2008-09-09"
70,40,"BlogLivejournalTwitter","2008-09-09"
23,40,"BlogLivejournalTwitter","2008-09-09"
43,40,"BlogLivejournalTwitter","2008-09-09"
49,40,"BlogLivejournalTwitter","2008-09-09"
70,43,"CloseFriend","2008-09-09"
52,43,"SocializeTwicePerWeek","2008-09-09"
64,43,"SocializeTwicePerWeek","2008-09-09"
6,43,"SocializeTwicePerWeek","2008-09-09"
65,43,"SocializeTwicePerWeek","2008-09-09"
62,43,"SocializeTwicePerWeek","2008-09-09"
68,43,"SocializeTwicePerWeek","2008-09-09"
70,43,"SocializeTwicePerWeek","2008-09-09"
1,43,"PoliticalDiscussant","2008-09-09"
10,43,"PoliticalDiscussant","2008-09-09"
8,43,"PoliticalDiscussant","2008-09-09"
39,43,"FacebookAllTaggedPhotos","2008-09-09"
37,43,"FacebookAllTaggedPhotos","2008-09-09"
63,43,"FacebookAllTaggedPhotos","2008-09-09"
40,43,"FacebookAllTaggedPhotos","2008-09-09"
50,43,"FacebookAllTaggedPhotos","2008-09-09"
9,43,"FacebookAllTaggedPhotos","2008-09-09"
44,43,"FacebookAllTaggedPhotos","2008-09-09"
83,43,"FacebookAllTaggedPhotos","2008-09-09"
14,43,"FacebookAllTaggedPhotos","2008-09-09"
28,43,"FacebookAllTaggedPhotos","2008-09-09"
65,43,"FacebookAllTaggedPhotos","2008-09-09"
62,43,"FacebookAllTaggedPhotos","2008-09-09"
45,43,"FacebookAllTaggedPhotos","2008-09-09"
70,43,"FacebookAllTaggedPhotos","2008-09-09"
23,43,"FacebookAllTaggedPhotos","2008-09-09"
37,43,"BlogLivejournalTwitter","2008-09-09"
72,43,"BlogLivejournalTwitter","2008-09-09"
63,43,"BlogLivejournalTwitter","2008-09-09"
9,43,"BlogLivejournalTwitter","2008-09-09"
44,43,"BlogLivejournalTwitter","2008-09-09"
6,43,"BlogLivejournalTwitter","2008-09-09"
14,43,"BlogLivejournalTwitter","2008-09-09"
28,43,"BlogLivejournalTwitter","2008-09-09"
65,43,"BlogLivejournalTwitter","2008-09-09"
62,43,"BlogLivejournalTwitter","2008-09-09"
45,43,"BlogLivejournalTwitter","2008-09-09"
70,43,"BlogLivejournalTwitter","2008-09-09"
23,43,"BlogLivejournalTwitter","2008-09-09"
72,52,"SocializeTwicePerWeek","2008-09-09"
11,52,"SocializeTwicePerWeek","2008-09-09"
21,52,"SocializeTwicePerWeek","2008-09-09"
27,52,"SocializeTwicePerWeek","2008-09-09"
57,52,"SocializeTwicePerWeek","2008-09-09"
31,52,"SocializeTwicePerWeek","2008-09-09"
70,52,"SocializeTwicePerWeek","2008-09-09"
11,52,"PoliticalDiscussant","2008-09-09"
10,52,"PoliticalDiscussant","2008-09-09"
57,52,"PoliticalDiscussant","2008-09-09"
39,52,"FacebookAllTaggedPhotos","2008-09-09"
37,52,"FacebookAllTaggedPhotos","2008-09-09"
63,52,"FacebookAllTaggedPhotos","2008-09-09"
52,52,"FacebookAllTaggedPhotos","2008-09-09"
50,52,"FacebookAllTaggedPhotos","2008-09-09"
9,52,"FacebookAllTaggedPhotos","2008-09-09"
83,52,"FacebookAllTaggedPhotos","2008-09-09"
14,52,"FacebookAllTaggedPhotos","2008-09-09"
28,52,"FacebookAllTaggedPhotos","2008-09-09"
65,52,"FacebookAllTaggedPhotos","2008-09-09"
31,52,"FacebookAllTaggedPhotos","2008-09-09"
45,52,"FacebookAllTaggedPhotos","2008-09-09"
23,52,"FacebookAllTaggedPhotos","2008-09-09"
43,52,"FacebookAllTaggedPhotos","2008-09-09"
37,52,"BlogLivejournalTwitter","2008-09-09"
72,52,"BlogLivejournalTwitter","2008-09-09"
63,52,"BlogLivejournalTwitter","2008-09-09"
47,52,"BlogLivejournalTwitter","2008-09-09"
9,52,"BlogLivejournalTwitter","2008-09-09"
14,52,"BlogLivejournalTwitter","2008-09-09"
28,52,"BlogLivejournalTwitter","2008-09-09"
65,52,"BlogLivejournalTwitter","2008-09-09"
31,52,"BlogLivejournalTwitter","2008-09-09"
45,52,"BlogLivejournalTwitter","2008-09-09"
70,52,"BlogLivejournalTwitter","2008-09-09"
23,52,"BlogLivejournalTwitter","2008-09-09"
43,52,"BlogLivejournalTwitter","2008-09-09"
70,62,"CloseFriend","2008-09-09"
49,62,"CloseFriend","2008-09-09"
36,62,"SocializeTwicePerWeek","2008-09-09"
59,62,"SocializeTwicePerWeek","2008-09-09"
52,62,"SocializeTwicePerWeek","2008-09-09"
9,62,"SocializeTwicePerWeek","2008-09-09"
44,62,"SocializeTwicePerWeek","2008-09-09"
19,62,"SocializeTwicePerWeek","2008-09-09"
30,62,"SocializeTwicePerWeek","2008-09-09"
46,62,"SocializeTwicePerWeek","2008-09-09"
35,62,"SocializeTwicePerWeek","2008-09-09"
32,62,"SocializeTwicePerWeek","2008-09-09"
38,62,"SocializeTwicePerWeek","2008-09-09"
26,62,"SocializeTwicePerWeek","2008-09-09"
65,62,"SocializeTwicePerWeek","2008-09-09"
18,62,"SocializeTwicePerWeek","2008-09-09"
54,62,"SocializeTwicePerWeek","2008-09-09"
20,62,"SocializeTwicePerWeek","2008-09-09"
68,62,"SocializeTwicePerWeek","2008-09-09"
45,62,"SocializeTwicePerWeek","2008-09-09"
70,62,"SocializeTwicePerWeek","2008-09-09"
8,62,"SocializeTwicePerWeek","2008-09-09"
43,62,"SocializeTwicePerWeek","2008-09-09"
49,62,"SocializeTwicePerWeek","2008-09-09"
59,62,"PoliticalDiscussant","2008-09-09"
44,62,"PoliticalDiscussant","2008-09-09"
35,62,"PoliticalDiscussant","2008-09-09"
10,62,"PoliticalDiscussant","2008-09-09"
8,62,"PoliticalDiscussant","2008-09-09"
49,62,"PoliticalDiscussant","2008-09-09"
39,62,"FacebookAllTaggedPhotos","2008-09-09"
37,62,"FacebookAllTaggedPhotos","2008-09-09"
63,62,"FacebookAllTaggedPhotos","2008-09-09"
40,62,"FacebookAllTaggedPhotos","2008-09-09"
50,62,"FacebookAllTaggedPhotos","2008-09-09"
9,62,"FacebookAllTaggedPhotos","2008-09-09"
44,62,"FacebookAllTaggedPhotos","2008-09-09"
46,62,"FacebookAllTaggedPhotos","2008-09-09"
35,62,"FacebookAllTaggedPhotos","2008-09-09"
14,62,"FacebookAllTaggedPhotos","2008-09-09"
28,62,"FacebookAllTaggedPhotos","2008-09-09"
65,62,"FacebookAllTaggedPhotos","2008-09-09"
54,62,"FacebookAllTaggedPhotos","2008-09-09"
20,62,"FacebookAllTaggedPhotos","2008-09-09"
45,62,"FacebookAllTaggedPhotos","2008-09-09"
70,62,"FacebookAllTaggedPhotos","2008-09-09"
23,62,"FacebookAllTaggedPhotos","2008-09-09"
43,62,"FacebookAllTaggedPhotos","2008-09-09"
49,62,"FacebookAllTaggedPhotos","2008-09-09"
37,62,"BlogLivejournalTwitter","2008-09-09"
72,62,"BlogLivejournalTwitter","2008-09-09"
63,62,"BlogLivejournalTwitter","2008-09-09"
59,62,"BlogLivejournalTwitter","2008-09-09"
9,62,"BlogLivejournalTwitter","2008-09-09"
44,62,"BlogLivejournalTwitter","2008-09-09"
6,62,"BlogLivejournalTwitter","2008-09-09"
46,62,"BlogLivejournalTwitter","2008-09-09"
14,62,"BlogLivejournalTwitter","2008-09-09"
28,62,"BlogLivejournalTwitter","2008-09-09"
65,62,"BlogLivejournalTwitter","2008-09-09"
20,62,"BlogLivejournalTwitter","2008-09-09"
45,62,"BlogLivejournalTwitter","2008-09-09"
70,62,"BlogLivejournalTwitter","2008-09-09"
23,62,"BlogLivejournalTwitter","2008-09-09"
43,62,"BlogLivejournalTwitter","2008-09-09"
49,62,"BlogLivejournalTwitter","2008-09-09"
66,5,"CloseFriend","2008-09-09"
5,5,"CloseFriend","2008-09-09"
36,5,"SocializeTwicePerWeek","2008-09-09"
59,5,"SocializeTwicePerWeek","2008-09-09"
17,5,"SocializeTwicePerWeek","2008-09-09"
52,5,"SocializeTwicePerWeek","2008-09-09"
9,5,"SocializeTwicePerWeek","2008-09-09"
69,5,"SocializeTwicePerWeek","2008-09-09"
38,5,"SocializeTwicePerWeek","2008-09-09"
28,5,"SocializeTwicePerWeek","2008-09-09"
5,5,"SocializeTwicePerWeek","2008-09-09"
20,5,"SocializeTwicePerWeek","2008-09-09"
62,5,"SocializeTwicePerWeek","2008-09-09"
42,5,"SocializeTwicePerWeek","2008-09-09"
45,5,"SocializeTwicePerWeek","2008-09-09"
70,5,"SocializeTwicePerWeek","2008-09-09"
43,5,"SocializeTwicePerWeek","2008-09-09"
59,5,"PoliticalDiscussant","2008-09-09"
44,5,"PoliticalDiscussant","2008-09-09"
10,5,"PoliticalDiscussant","2008-09-09"
39,5,"FacebookAllTaggedPhotos","2008-09-09"
37,5,"FacebookAllTaggedPhotos","2008-09-09"
63,5,"FacebookAllTaggedPhotos","2008-09-09"
40,5,"FacebookAllTaggedPhotos","2008-09-09"
50,5,"FacebookAllTaggedPhotos","2008-09-09"
9,5,"FacebookAllTaggedPhotos","2008-09-09"
44,5,"FacebookAllTaggedPhotos","2008-09-09"
83,5,"FacebookAllTaggedPhotos","2008-09-09"
14,5,"FacebookAllTaggedPhotos","2008-09-09"
28,5,"FacebookAllTaggedPhotos","2008-09-09"
65,5,"FacebookAllTaggedPhotos","2008-09-09"
54,5,"FacebookAllTaggedPhotos","2008-09-09"
20,5,"FacebookAllTaggedPhotos","2008-09-09"
62,5,"FacebookAllTaggedPhotos","2008-09-09"
45,5,"FacebookAllTaggedPhotos","2008-09-09"
23,5,"FacebookAllTaggedPhotos","2008-09-09"
43,5,"FacebookAllTaggedPhotos","2008-09-09"
37,5,"BlogLivejournalTwitter","2008-09-09"
72,5,"BlogLivejournalTwitter","2008-09-09"
63,5,"BlogLivejournalTwitter","2008-09-09"
59,5,"BlogLivejournalTwitter","2008-09-09"
9,5,"BlogLivejournalTwitter","2008-09-09"
44,5,"BlogLivejournalTwitter","2008-09-09"
14,5,"BlogLivejournalTwitter","2008-09-09"
28,5,"BlogLivejournalTwitter","2008-09-09"
65,5,"BlogLivejournalTwitter","2008-09-09"
20,5,"BlogLivejournalTwitter","2008-09-09"
62,5,"BlogLivejournalTwitter","2008-09-09"
45,5,"BlogLivejournalTwitter","2008-09-09"
70,5,"BlogLivejournalTwitter","2008-09-09"
23,5,"BlogLivejournalTwitter","2008-09-09"
43,5,"BlogLivejournalTwitter","2008-09-09"
9,17,"CloseFriend","2008-09-09"
66,17,"CloseFriend","2008-09-09"
35,17,"CloseFriend","2008-09-09"
59,17,"SocializeTwicePerWeek","2008-09-09"
52,17,"SocializeTwicePerWeek","2008-09-09"
9,17,"SocializeTwicePerWeek","2008-09-09"
35,17,"SocializeTwicePerWeek","2008-09-09"
83,17,"SocializeTwicePerWeek","2008-09-09"
28,17,"SocializeTwicePerWeek","2008-09-09"
5,17,"SocializeTwicePerWeek","2008-09-09"
20,17,"SocializeTwicePerWeek","2008-09-09"
42,17,"SocializeTwicePerWeek","2008-09-09"
70,17,"SocializeTwicePerWeek","2008-09-09"
59,17,"PoliticalDiscussant","2008-09-09"
35,17,"PoliticalDiscussant","2008-09-09"
83,17,"PoliticalDiscussant","2008-09-09"
10,17,"PoliticalDiscussant","2008-09-09"
39,17,"FacebookAllTaggedPhotos","2008-09-09"
37,17,"FacebookAllTaggedPhotos","2008-09-09"
63,17,"FacebookAllTaggedPhotos","2008-09-09"
50,17,"FacebookAllTaggedPhotos","2008-09-09"
9,17,"FacebookAllTaggedPhotos","2008-09-09"
35,17,"FacebookAllTaggedPhotos","2008-09-09"
83,17,"FacebookAllTaggedPhotos","2008-09-09"
14,17,"FacebookAllTaggedPhotos","2008-09-09"
28,17,"FacebookAllTaggedPhotos","2008-09-09"
65,17,"FacebookAllTaggedPhotos","2008-09-09"
20,17,"FacebookAllTaggedPhotos","2008-09-09"
45,17,"FacebookAllTaggedPhotos","2008-09-09"
23,17,"FacebookAllTaggedPhotos","2008-09-09"
43,17,"FacebookAllTaggedPhotos","2008-09-09"
37,17,"BlogLivejournalTwitter","2008-09-09"
3,17,"BlogLivejournalTwitter","2008-09-09"
72,17,"BlogLivejournalTwitter","2008-09-09"
63,17,"BlogLivejournalTwitter","2008-09-09"
59,17,"BlogLivejournalTwitter","2008-09-09"
9,17,"BlogLivejournalTwitter","2008-09-09"
83,17,"BlogLivejournalTwitter","2008-09-09"
14,17,"BlogLivejournalTwitter","2008-09-09"
28,17,"BlogLivejournalTwitter","2008-09-09"
65,17,"BlogLivejournalTwitter","2008-09-09"
20,17,"BlogLivejournalTwitter","2008-09-09"
45,17,"BlogLivejournalTwitter","2008-09-09"
70,17,"BlogLivejournalTwitter","2008-09-09"
23,17,"BlogLivejournalTwitter","2008-09-09"
43,17,"BlogLivejournalTwitter","2008-09-09"
70,8,"CloseFriend","2008-09-09"
8,8,"CloseFriend","2008-09-09"
52,8,"SocializeTwicePerWeek","2008-09-09"
62,8,"SocializeTwicePerWeek","2008-09-09"
68,8,"SocializeTwicePerWeek","2008-09-09"
70,8,"SocializeTwicePerWeek","2008-09-09"
8,8,"SocializeTwicePerWeek","2008-09-09"
43,8,"SocializeTwicePerWeek","2008-09-09"
10,8,"PoliticalDiscussant","2008-09-09"
8,8,"PoliticalDiscussant","2008-09-09"
39,8,"FacebookAllTaggedPhotos","2008-09-09"
37,8,"FacebookAllTaggedPhotos","2008-09-09"
63,8,"FacebookAllTaggedPhotos","2008-09-09"
40,8,"FacebookAllTaggedPhotos","2008-09-09"
50,8,"FacebookAllTaggedPhotos","2008-09-09"
9,8,"FacebookAllTaggedPhotos","2008-09-09"
44,8,"FacebookAllTaggedPhotos","2008-09-09"
83,8,"FacebookAllTaggedPhotos","2008-09-09"
14,8,"FacebookAllTaggedPhotos","2008-09-09"
41,8,"FacebookAllTaggedPhotos","2008-09-09"
28,8,"FacebookAllTaggedPhotos","2008-09-09"
65,8,"FacebookAllTaggedPhotos","2008-09-09"
54,8,"FacebookAllTaggedPhotos","2008-09-09"
62,8,"FacebookAllTaggedPhotos","2008-09-09"
45,8,"FacebookAllTaggedPhotos","2008-09-09"
70,8,"FacebookAllTaggedPhotos","2008-09-09"
23,8,"FacebookAllTaggedPhotos","2008-09-09"
8,8,"FacebookAllTaggedPhotos","2008-09-09"
43,8,"FacebookAllTaggedPhotos","2008-09-09"
37,8,"BlogLivejournalTwitter","2008-09-09"
72,8,"BlogLivejournalTwitter","2008-09-09"
63,8,"BlogLivejournalTwitter","2008-09-09"
9,8,"BlogLivejournalTwitter","2008-09-09"
44,8,"BlogLivejournalTwitter","2008-09-09"
14,8,"BlogLivejournalTwitter","2008-09-09"
28,8,"BlogLivejournalTwitter","2008-09-09"
65,8,"BlogLivejournalTwitter","2008-09-09"
62,8,"BlogLivejournalTwitter","2008-09-09"
45,8,"BlogLivejournalTwitter","2008-09-09"
70,8,"BlogLivejournalTwitter","2008-09-09"
23,8,"BlogLivejournalTwitter","2008-09-09"
8,8,"BlogLivejournalTwitter","2008-09-09"
43,8,"BlogLivejournalTwitter","2008-09-09"
4,57,"CloseFriend","2008-09-09"
73,57,"SocializeTwicePerWeek","2008-09-09"
55,57,"SocializeTwicePerWeek","2008-09-09"
11,57,"SocializeTwicePerWeek","2008-09-09"
63,57,"SocializeTwicePerWeek","2008-09-09"
21,57,"SocializeTwicePerWeek","2008-09-09"
59,57,"SocializeTwicePerWeek","2008-09-09"
47,57,"SocializeTwicePerWeek","2008-09-09"
51,57,"SocializeTwicePerWeek","2008-09-09"
52,57,"SocializeTwicePerWeek","2008-09-09"
27,57,"SocializeTwicePerWeek","2008-09-09"
32,57,"SocializeTwicePerWeek","2008-09-09"
25,57,"SocializeTwicePerWeek","2008-09-09"
33,57,"SocializeTwicePerWeek","2008-09-09"
2,57,"SocializeTwicePerWeek","2008-09-09"
58,57,"SocializeTwicePerWeek","2008-09-09"
31,57,"SocializeTwicePerWeek","2008-09-09"
4,57,"SocializeTwicePerWeek","2008-09-09"
68,57,"SocializeTwicePerWeek","2008-09-09"
70,57,"SocializeTwicePerWeek","2008-09-09"
23,57,"SocializeTwicePerWeek","2008-09-09"
34,57,"SocializeTwicePerWeek","2008-09-09"
16,57,"SocializeTwicePerWeek","2008-09-09"
11,57,"PoliticalDiscussant","2008-09-09"
59,57,"PoliticalDiscussant","2008-09-09"
51,57,"PoliticalDiscussant","2008-09-09"
25,57,"PoliticalDiscussant","2008-09-09"
10,57,"PoliticalDiscussant","2008-09-09"
4,57,"PoliticalDiscussant","2008-09-09"
