"user.id","campus.organization","survey.month"
61,65,"2009.04"
9,44,"2009.04"
9,33,"2009.04"
9,31,"2009.04"
9,25,"2009.04"
9,38,"2009.04"
9,50,"2009.04"
79,7,"2009.04"
79,36,"2009.04"
79,25,"2009.04"
79,24,"2009.04"
79,26,"2009.04"
5,44,"2009.04"
5,33,"2009.04"
5,34,"2009.04"
5,31,"2009.04"
5,14,"2009.04"
71,44,"2009.04"
71,7,"2009.04"
71,24,"2009.04"
71,5,"2009.04"
49,7,"2009.04"
72,21,"2009.04"
59,18,"2009.04"
10,44,"2009.04"
10,60,"2009.04"
10,46,"2009.04"
10,33,"2009.04"
10,25,"2009.04"
10,24,"2009.04"
10,51,"2009.04"
10,23,"2009.04"
75,7,"2009.04"
75,8,"2009.04"
75,61,"2009.04"
70,44,"2009.04"
70,51,"2009.04"
70,69,"2009.04"
70,1,"2009.04"
52,55,"2009.04"
46,44,"2009.04"
46,7,"2009.04"
46,24,"2009.04"
46,51,"2009.04"
2,33,"2009.04"
2,34,"2009.04"
2,59,"2009.04"
4,44,"2009.04"
4,38,"2009.04"
4,39,"2009.04"
62,57,"2009.04"
62,44,"2009.04"
62,7,"2009.04"
62,46,"2009.04"
62,36,"2009.04"
62,47,"2009.04"
64,39,"2009.04"
12,6,"2009.04"
20,44,"2009.04"
20,26,"2009.04"
1,18,"2009.04"
1,54,"2009.04"
8,15,"2009.04"
8,52,"2009.04"
80,26,"2009.04"
80,47,"2009.04"
80,63,"2009.04"
67,30,"2009.04"
65,7,"2009.04"
65,31,"2009.04"
65,25,"2009.04"
65,51,"2009.04"
35,44,"2009.04"
35,33,"2009.04"
35,31,"2009.04"
35,25,"2009.04"
26,46,"2009.04"
7,7,"2009.06"
7,39,"2009.06"
7,15,"2009.06"
7,2,"2009.06"
36,42,"2009.06"
49,7,"2009.06"
6,7,"2009.06"
6,36,"2009.06"
6,25,"2009.06"
6,53,"2009.06"
6,35,"2009.06"
6,8,"2009.06"
43,7,"2009.06"
43,6,"2009.06"
52,55,"2009.06"
29,36,"2009.06"
47,25,"2009.06"
47,47,"2009.06"
47,35,"2009.06"
9,44,"2009.06"
9,31,"2009.06"
9,25,"2009.06"
63,16,"2009.06"
63,26,"2009.06"
37,34,"2009.06"
79,7,"2009.06"
79,36,"2009.06"
79,25,"2009.06"
79,24,"2009.06"
79,26,"2009.06"
79,9,"2009.06"
72,21,"2009.06"
77,7,"2009.06"
77,36,"2009.06"
77,5,"2009.06"
40,7,"2009.06"
40,25,"2009.06"
40,24,"2009.06"
40,6,"2009.06"
40,26,"2009.06"
40,51,"2009.06"
40,8,"2009.06"
45,44,"2009.06"
45,31,"2009.06"
45,25,"2009.06"
45,51,"2009.06"
45,18,"2009.06"
61,45,"2009.06"
61,65,"2009.06"
44,24,"2009.06"
44,6,"2009.06"
44,39,"2009.06"
44,32,"2009.06"
28,57,"2009.06"
62,57,"2009.06"
62,44,"2009.06"
62,7,"2009.06"
62,46,"2009.06"
62,47,"2009.06"
26,46,"2009.06"
60,24,"2009.06"
60,6,"2009.06"
60,20,"2009.06"
22,16,"2009.06"
22,1,"2009.06"
69,31,"2009.06"
64,39,"2009.06"
64,17,"2009.06"
12,6,"2009.06"
67,60,"2009.06"
67,29,"2009.06"
76,7,"2009.06"
76,25,"2009.06"
76,24,"2009.06"
76,10,"2009.06"
70,44,"2009.06"
70,51,"2009.06"
70,69,"2009.06"
70,1,"2009.06"
70,48,"2009.06"
14,25,"2009.06"
14,51,"2009.06"
1,36,"2009.06"
1,38,"2009.06"
1,18,"2009.06"
1,67,"2009.06"
56,63,"2009.06"
57,71,"2009.06"
2,33,"2009.06"
2,59,"2009.06"
35,44,"2009.06"
35,46,"2009.06"
35,33,"2009.06"
35,31,"2009.06"
35,25,"2009.06"
23,7,"2009.06"
23,26,"2009.06"
23,42,"2009.06"
23,8,"2009.06"
59,33,"2009.06"
59,18,"2009.06"
46,44,"2009.06"
46,7,"2009.06"
46,24,"2009.06"
8,31,"2009.06"
8,15,"2009.06"
8,52,"2009.06"
8,66,"2009.06"
4,44,"2009.06"
4,38,"2009.06"
4,39,"2009.06"
80,26,"2009.06"
80,47,"2009.06"
80,63,"2009.06"
54,60,"2009.06"
54,16,"2009.06"
68,36,"2009.06"
68,70,"2009.06"
5,44,"2009.06"
5,33,"2009.06"
5,34,"2009.06"
5,31,"2009.06"
5,13,"2009.06"
75,7,"2009.06"
75,8,"2009.06"
75,61,"2009.06"
10,44,"2009.06"
10,60,"2009.06"
10,46,"2009.06"
10,25,"2009.06"
10,24,"2009.06"
10,51,"2009.06"
10,45,"2009.06"
10,23,"2009.06"
20,44,"2009.06"
58,37,"2009.06"
21,26,"2009.06"
21,71,"2009.06"
48,34,"2009.06"
66,44,"2009.06"
66,33,"2009.06"
66,34,"2009.06"
66,31,"2009.06"
66,25,"2009.06"
65,31,"2009.06"
65,25,"2009.06"
65,51,"2009.06"
71,44,"2009.06"
71,7,"2009.06"
71,46,"2009.06"
71,24,"2009.06"
71,5,"2009.06"
