"user_id","interested_in_politics","preferred_party","likelihood_of_voting","voting_for_today","preferred_party_details","liberal_or_conservative","survey.month","did_vote_in_election","not_voted_preferred_candidate","voted_preferred_candidate","approve_obama_president","approve_congress","approve_obama_economy"
54,"Very interested","Independent","Not eligible to vote","Probably Barack Obama","Democratic Party","Slightly liberal","2008.09",,,,,,
2,"Not at all interested","Member of another party","I don't know whether or not I will vote","Other candidate","Democratic Party","Liberal","2008.09",,,,,,
56,"Very interested","Democrat","I will definitely vote","Definitely Barack Obama","Strong Democrat","Extremely liberal","2008.09",,,,,,
5,"Very interested","Independent","I will most likely not vote","Definitely Barack Obama","Democratic Party","Slightly liberal","2008.09",,,,,,
20,"Very interested","Democrat","I will definitely vote","Definitely Barack Obama","Strong Democrat","Liberal","2008.09",,,,,,
57,"Not at all interested","Democrat","Not eligible to vote","Definitely Barack Obama","Not very strong Democrat","Liberal","2008.09",,,,,,
58,"Somewhat interested","Democrat","I don't know whether or not I will vote","Definitely Barack Obama","Not very strong Democrat","Liberal","2008.09",,,,,,
62,"Somewhat interested","Democrat","I will most likely vote","Definitely Barack Obama","Not very strong Democrat","Liberal","2008.09",,,,,,
31,"Somewhat interested","Democrat","I will most likely vote","Probably Barack Obama","Not very strong Democrat","Slightly liberal","2008.09",,,,,,
4,"Somewhat interested","Democrat","Not eligible to vote","Definitely Barack Obama","Strong Democrat","Liberal","2008.09",,,,,,
68,"Very interested","Democrat","I will definitely vote","Definitely Barack Obama","Strong Democrat","Extremely liberal","2008.09",,,,,,
42,"Very interested","Independent","I will most likely vote","Probably Barack Obama","Democratic Party","Moderate middle of the road","2008.09",,,,,,
24,"Somewhat interested","Democrat","Not eligible to vote","Definitely Barack Obama","Strong Democrat","Liberal","2008.09",,,,,,
45,"Slightly interested","Independent","Not eligible to vote","Definitely Barack Obama","Democratic Party","Liberal","2008.09",,,,,,
70,"Slightly interested","Democrat","Not eligible to vote","Definitely Barack Obama","Not very strong Democrat","Liberal","2008.09",,,,,,
23,"Very interested","Independent","I will definitely vote","Definitely Barack Obama","Democratic Party","Slightly liberal","2008.09",,,,,,
8,"Somewhat interested","Democrat","I will most likely vote","Undecided","Not very strong Democrat","Moderate middle of the road","2008.09",,,,,,
43,"Slightly interested","Independent","Not eligible to vote","Probably Barack Obama","Democratic Party","Extremely liberal","2008.09",,,,,,
34,"Somewhat interested","Independent","I will most likely vote","Probably Barack Obama","Democratic Party","Slightly liberal","2008.09",,,,,,
13,"Slightly interested","Independent","Not eligible to vote","Probably Barack Obama","Democratic Party","Slightly liberal","2008.09",,,,,,
49,"Not at all interested",,"I don't know whether or not I will vote","Probably Barack Obama",,"Liberal","2008.09",,,,,,
16,"Slightly interested","Democrat","I will definitely vote","Definitely Barack Obama","Strong Democrat","Liberal","2008.09",,,,,,
3,"Not at all interested","Democrat","I will most likely vote","Definitely Barack Obama","Not very strong Democrat","Slightly liberal","2008.09",,,,,,
12,"Slightly interested","Independent","I will definitely vote","Definitely Barack Obama","Democratic Party","Slightly liberal","2008.09",,,,,,
15,"Somewhat interested","Member of another party","I will most likely not vote","Would not vote","Neither","Moderate middle of the road","2008.09",,,,,,
74,"Somewhat interested","Democrat","I will definitely vote","Definitely Barack Obama","Not very strong Democrat","Liberal","2008.09",,,,,,
9,"Very interested","Independent","I will definitely vote","Definitely Barack Obama",,,"2008.10",,,,,,
10,"Slightly interested","Democrat","I will most likely vote","Definitely Barack Obama",,,"2008.10",,,,,,
47,"Very interested","Independent","I will definitely vote","Definitely Barack Obama",,,"2008.10",,,,,,
58,"Somewhat interested","Democrat","I will most likely not vote","Definitely Barack Obama",,,"2008.10",,,,,,
36,"Not at all interested","Republican","I don't know whether or not I will vote","Definitely John McCain",,,"2008.10",,,,,,
30,"Very interested","Democrat","I will definitely vote","Definitely Barack Obama",,,"2008.10",,,,,,
56,"Very interested","Democrat","I will definitely vote","Definitely Barack Obama",,,"2008.10",,,,,,
28,"Very interested","Democrat","I will definitely vote","Definitely Barack Obama",,,"2008.10",,,,,,
60,"Somewhat interested","Democrat","I will definitely not vote","Definitely Barack Obama",,,"2008.10",,,,,,
32,"Slightly interested","Democrat","Not eligible to vote","Probably Barack Obama",,,"2008.10",,,,,,
25,"Very interested","Independent","I will most likely not vote","Probably Barack Obama",,,"2008.10",,,,,,
49,"Slightly interested","Democrat","I will definitely vote","Definitely Barack Obama",,,"2008.10",,,,,,
29,"Slightly interested","Independent","I will most likely vote","Undecided",,,"2008.10",,,,,,
35,"Very interested","Democrat","I will definitely vote","Definitely Barack Obama",,,"2008.10",,,,,,
45,"Somewhat interested","Independent","Not eligible to vote","Definitely Barack Obama",,,"2008.10",,,,,,
7,"Somewhat interested","Democrat","I don't know whether or not I will vote","Definitely Barack Obama",,,"2008.10",,,,,,
13,"Slightly interested","Independent","Not eligible to vote","Definitely Barack Obama",,,"2008.10",,,,,,
11,"Not at all interested","Independent","I will definitely not vote","Other candidate",,,"2008.10",,,,,,
65,"Very interested","Democrat","I will definitely vote","Definitely Barack Obama",,,"2008.10",,,,,,
68,"Very interested","Democrat","I will most likely vote","Definitely Barack Obama",,,"2008.10",,,,,,
72,"Very interested","Democrat","I will definitely vote","Definitely Barack Obama",,,"2008.10",,,,,,
64,"Somewhat interested","Democrat","I will definitely vote","Definitely Barack Obama",,,"2008.10",,,,,,
20,"Very interested","Democrat","I will definitely vote","Definitely Barack Obama",,,"2008.10",,,,,,
69,"Not at all interested","Democrat","I will most likely not vote","Probably Barack Obama",,,"2008.10",,,,,,
37,"Slightly interested","Democrat","I will most likely not vote","Probably John McCain",,,"2008.10",,,,,,
40,"Slightly interested","Democrat","I will definitely vote","Definitely Barack Obama",,,"2008.10",,,,,,
54,"Very interested","Democrat","Not eligible to vote","Would not vote",,,"2008.10",,,,,,
1,"Somewhat interested","Independent","I will definitely vote","Definitely Barack Obama",,,"2008.10",,,,,,
31,"Slightly interested","Democrat","I will definitely not vote","Probably Barack Obama",,,"2008.10",,,,,,
22,"Very interested","Republican","I will definitely vote","Probably Barack Obama",,,"2008.10",,,,,,
38,"Very interested","Independent","I don't know whether or not I will vote","Probably Barack Obama",,,"2008.10",,,,,,
41,"Not at all interested","Democrat","I will most likely not vote","Probably Barack Obama",,,"2008.10",,,,,,
24,"Slightly interested","Democrat","Not eligible to vote","Definitely Barack Obama",,,"2008.10",,,,,,
48,"Somewhat interested","Democrat","I will definitely vote","Definitely Barack Obama",,,"2008.10",,,,,,
53,"Very interested","Independent","I will definitely vote","Definitely John McCain",,,"2008.10",,,,,,
50,"Not at all interested","Member of another party","Not eligible to vote","Would not vote",,,"2008.10",,,,,,
14,"Very interested","Independent","I will most likely not vote","Probably Barack Obama",,,"2008.10",,,,,,
12,"Slightly interested","Independent","I will most likely vote","Definitely Barack Obama",,,"2008.10",,,,,,
66,"Somewhat interested","Democrat","I will definitely vote","Definitely Barack Obama",,,"2008.10",,,,,,
61,"Somewhat interested","Democrat","I will definitely vote","Definitely Barack Obama",,,"2008.10",,,,,,
2,"Not at all interested","Independent","I will definitely vote","Other candidate",,,"2008.10",,,,,,
16,"Very interested","Democrat","I will definitely vote","Definitely Barack Obama",,,"2008.10",,,,,,
33,"Slightly interested","Independent","I will definitely not vote","Definitely Barack Obama",,,"2008.10",,,,,,
34,"Somewhat interested","Independent","I will most likely not vote","Probably Barack Obama",,,"2008.10",,,,,,
57,"Slightly interested","Democrat","Not eligible to vote","Definitely Barack Obama",,,"2008.10",,,,,,
44,"Somewhat interested","Democrat","I will definitely vote","Definitely Barack Obama",,,"2008.10",,,,,,
18,"Very interested","Democrat","I will definitely vote","Definitely Barack Obama",,,"2008.10",,,,,,
23,"Very interested","Independent","I will definitely vote","Definitely Barack Obama",,,"2008.10",,,,,,
52,"Somewhat interested","Democrat","Not eligible to vote","Definitely Barack Obama",,,"2008.10",,,,,,
46,"Somewhat interested","Democrat","I will definitely vote","Definitely Barack Obama",,,"2008.10",,,,,,
5,"Somewhat interested","Independent","I will most likely not vote","Definitely Barack Obama",,,"2008.10",,,,,,
21,"Slightly interested","Republican","I will definitely not vote","Probably John McCain",,,"2008.10",,,,,,
15,"Somewhat interested","Member of another party","I don't know whether or not I will vote","Undecided",,,"2008.10",,,,,,
59,"Somewhat interested","Independent","I will definitely vote","Probably Barack Obama",,,"2008.10",,,,,,
63,"Very interested","Republican","I will definitely vote","Definitely John McCain",,,"2008.10",,,,,,
19,"Somewhat interested","Democrat","I will definitely vote","Definitely Barack Obama",,,"2008.10",,,,,,
26,"Somewhat interested","Democrat","I will definitely vote","Definitely Barack Obama",,,"2008.10",,,,,,
4,"Somewhat interested","Democrat","Not eligible to vote","Definitely Barack Obama",,,"2008.10",,,,,,
43,"Slightly interested","Independent","Not eligible to vote","Probably Barack Obama",,,"2008.10",,,,,,
70,"Slightly interested","Independent","Not eligible to vote","Definitely Barack Obama",,,"2008.10",,,,,,
71,"Not at all interested","Democrat","I will definitely not vote","Definitely Barack Obama",,,"2008.10",,,,,,
8,"Very interested","Democrat","I will definitely vote","Definitely Barack Obama",,,"2008.10",,,,,,
67,"Very interested","Democrat","I will definitely vote","Definitely Barack Obama",,,"2008.10",,,,,,
62,"Somewhat interested","Democrat","I will definitely vote","Definitely Barack Obama",,,"2008.10",,,,,,
50,"Somewhat interested","Independent",,,"Democratic Party","Moderate middle of the road","2008.11","I thought about voting- but didn't","John McCain",,,,
63,"Very interested","Republican",,,"Not very strong Republican","Moderate middle of the road","2008.11","I voted in this presidential election",,"John McCain",,,
7,"Somewhat interested","Democrat",,,"Strong Democrat","Liberal","2008.11","I voted in this presidential election",,"Barack Obama",,,
36,"Slightly interested","Republican",,,"Strong Republican","Conservative","2008.11","I wasn't interested and didn't vote in this election","John McCain",,,,
6,"Very interested","Democrat",,,"Strong Democrat","Extremely liberal","2008.11","I wanted to vote but could not due to logistical reason","Barack Obama",,,,
74,"Somewhat interested","Democrat",,,"Strong Democrat","Liberal","2008.11","I voted in this presidential election",,"Barack Obama",,,
37,"Slightly interested","Democrat",,,"Not very strong Democrat","Extremely liberal","2008.11","I wanted to vote but could not due to logistical reason","Would not have voted for any candidate",,,,
51,"Slightly interested","Independent",,,"Democratic Party","Slightly liberal","2008.11","I wanted to vote but could not due to logistical reason","Did not vote",,,,
31,"Somewhat interested","Democrat",,,"Not very strong Democrat","Slightly liberal","2008.11","I thought about voting- but didn't","Barack Obama",,,,
33,"Slightly interested","Independent",,,"Democratic Party","Slightly liberal","2008.11","I thought about voting- but didn't","Barack Obama",,,,
28,"Somewhat interested","Democrat",,,"Not very strong Democrat","Slightly liberal","2008.11","I voted in this presidential election",,"Barack Obama",,,
64,"Somewhat interested","Democrat",,,"Strong Democrat","Liberal","2008.11","I voted in this presidential election",,"Barack Obama",,,
10,"Slightly interested","Democrat",,,"Not very strong Democrat","Liberal","2008.11","I voted in this presidential election",,"Barack Obama",,,
29,"Slightly interested","Independent",,,"Republican Party","Moderate middle of the road","2008.11","I voted in this presidential election",,"Other candidate",,,
21,"Slightly interested","Republican",,,"Not very strong Republican","Slightly conservative","2008.11","I wanted to vote but could not due to logistical reason","John McCain",,,,
26,"Slightly interested","Democrat",,,"Strong Democrat","Liberal","2008.11","I voted in this presidential election",,"Barack Obama",,,
69,"Not at all interested","Democrat",,,"Not very strong Democrat","Liberal","2008.11","I wasn't interested and didn't vote in this election","Barack Obama",,,,
11,"Slightly interested","Democrat",,,"Not very strong Democrat","Moderate middle of the road","2008.11","I thought about voting- but didn't","Other candidate",,,,
65,"Very interested","Democrat",,,"Strong Democrat","Liberal","2008.11","I voted in this presidential election",,"Barack Obama",,,
57,"Somewhat interested","Democrat",,,"Strong Democrat","Liberal","2008.11","I was not eligible to vote  ","Barack Obama",,,,
13,"Somewhat interested","Independent",,,"Democratic Party","Slightly liberal","2008.11","I was not eligible to vote  ","Other candidate",,,,
53,"Very interested","Independent",,,"Republican Party","Liberal","2008.11","I voted in this presidential election",,"John McCain",,,
14,"Somewhat interested","Independent",,,"Republican Party","Moderate middle of the road","2008.11","I thought about voting- but didn't","Barack Obama",,,,
15,"Somewhat interested","Member of another party",,,"Neither","Moderate middle of the road","2008.11","I wanted to vote but could not due to logistical reason","Did not vote",,,,
1,"Somewhat interested","Independent",,,"Democratic Party","Liberal","2008.11","I voted in this presidential election",,"Barack Obama",,,
47,"Very interested","Independent",,,"Democratic Party","Moderate middle of the road","2008.11","I voted in this presidential election",,"Barack Obama",,,
52,"Somewhat interested","Independent",,,"Democratic Party","Moderate middle of the road","2008.11","I was not eligible to vote  ","Barack Obama",,,,
3,"Not at all interested","Democrat",,,"Not very strong Democrat","Liberal","2008.11","I voted in this presidential election",,"Barack Obama",,,
12,"Somewhat interested","Independent",,,"Neither","Slightly liberal","2008.11","I voted in this presidential election",,"Barack Obama",,,
45,"Somewhat interested","Independent",,,"Democratic Party","Liberal","2008.11","I was not eligible to vote  ","Barack Obama",,,,
16,,"Democrat",,,"Strong Democrat","Extremely liberal","2008.11","I voted in this presidential election",,"Barack Obama",,,
66,"Somewhat interested","Democrat",,,"Strong Democrat","Liberal","2008.11","I voted in this presidential election",,"Barack Obama",,,
40,"Slightly interested","Democrat",,,"Strong Democrat","Liberal","2008.11","I voted in this presidential election",,"Barack Obama",,,
67,"Very interested","Democrat",,,"Strong Democrat","Liberal","2008.11","I voted in this presidential election",,"Barack Obama",,,
59,"Somewhat interested","Independent",,,"Democratic Party","Slightly liberal","2008.11","I voted in this presidential election",,"Barack Obama",,,
71,"Not at all interested","Independent",,,"Democratic Party","Liberal","2008.11","I wasn't interested and didn't vote in this election","Barack Obama",,,,
9,"Very interested","Independent",,,"Democratic Party","Extremely liberal","2008.11","I voted in this presidential election",,"Barack Obama",,,
30,"Somewhat interested","Democrat",,,"Strong Democrat","Liberal","2008.11","I voted in this presidential election",,"Barack Obama",,,
32,"Slightly interested","Democrat",,,"Not very strong Democrat","Liberal","2008.11","I wanted to vote but could not due to logistical reason","Barack Obama",,,,
2,"Not at all interested","Independent",,,"Democratic Party","Liberal","2008.11","I voted in this presidential election",,"Other candidate",,,
20,"Very interested","Democrat",,,"Strong Democrat","Extremely liberal","2008.11","I voted in this presidential election",,"Barack Obama",,,
23,"Very interested","Independent",,,"Democratic Party","Slightly liberal","2008.11","I voted in this presidential election",,"Barack Obama",,,
25,"Somewhat interested","Independent",,,"Neither","Slightly liberal","2008.11","I wasn't interested and didn't vote in this election","Would not have voted for any candidate",,,,
60,"Somewhat interested","Democrat",,,"Not very strong Democrat","Moderate middle of the road","2008.11","I wanted to vote but could not due to logistical reason","Barack Obama",,,,
41,"Slightly interested","Democrat",,,"Not very strong Democrat","Liberal","2008.11","I wasn't interested and didn't vote in this election","Barack Obama",,,,
24,"Somewhat interested","Democrat",,,"Strong Democrat","Liberal","2008.11","I was not eligible to vote  ","Barack Obama",,,,
48,"Somewhat interested","Democrat",,,"Strong Democrat","Liberal","2008.11","I voted in this presidential election",,"Barack Obama",,,
42,"Very interested","Independent",,,"Democratic Party","Moderate middle of the road","2008.11","I wanted to vote but could not due to logistical reason","Barack Obama",,,,
18,"Very interested","Democrat",,,"Strong Democrat","Slightly liberal","2008.11","I voted in this presidential election",,"Barack Obama",,,
62,"Somewhat interested","Democrat",,,"Strong Democrat","Liberal","2008.11","I voted in this presidential election",,"Barack Obama",,,
4,"Somewhat interested","Democrat",,,"Strong Democrat","Liberal","2008.11","I was not eligible to vote  ","Barack Obama",,,,
19,"Somewhat interested","Democrat",,,"Not very strong Democrat","Liberal","2008.11","I voted in this presidential election",,"Barack Obama",,,
38,"Very interested","Independent",,,"Republican Party","Slightly conservative","2008.11","I wanted to vote but could not due to logistical reason","Barack Obama",,,,
68,"Somewhat interested","Democrat",,,"Strong Democrat","Extremely liberal","2008.11","I voted in this presidential election",,"Barack Obama",,,
61,"Somewhat interested","Democrat",,,"Strong Democrat","Liberal","2008.11","I voted in this presidential election",,"Barack Obama",,,
22,"Very interested","Republican",,,"Not very strong Republican","Conservative","2008.11","I voted in this presidential election",,"Barack Obama",,,
70,"Slightly interested","Democrat",,,"Not very strong Democrat","Liberal","2008.11","I was not eligible to vote  ","Barack Obama",,,,
34,"Somewhat interested","Independent",,,"Democratic Party","Slightly liberal","2008.11","I wanted to vote but could not due to logistical reason","Barack Obama",,,,
44,"Somewhat interested","Democrat",,,"Strong Democrat","Liberal","2008.11","I voted in this presidential election",,"Barack Obama",,,
46,"Somewhat interested","Democrat",,,"Strong Democrat","Liberal","2008.11","I voted in this presidential election",,"Barack Obama",,,
54,"Very interested","Independent",,,"Democratic Party","Moderate middle of the road","2008.11","I was not eligible to vote  ","Barack Obama",,,,
43,"Slightly interested","Independent",,,"Neither","Liberal","2008.11","I was not eligible to vote  ","Barack Obama",,,,
35,"Very interested","Democrat",,,"Not very strong Democrat","Slightly liberal","2008.11","I voted in this presidential election",,"Barack Obama",,,
8,"Somewhat interested","Democrat",,,"Not very strong Democrat","Slightly liberal","2008.11","I voted in this presidential election",,"Barack Obama",,,
72,"Very interested","Democrat",,,"Strong Democrat","Liberal","2008.11","I voted in this presidential election",,"Barack Obama",,,
5,"Somewhat interested","Independent",,,"Democratic Party","Liberal","2008.11","I thought about voting- but didn't","Barack Obama",,,,
58,"Slightly interested","Democrat",,,"Strong Democrat","Slightly liberal","2008.11","I voted in this presidential election",,"Barack Obama",,,
56,"Very interested","Democrat",,,"Strong Democrat","Liberal","2008.11","I voted in this presidential election",,"Barack Obama",,,
71,"Not at all interested",,,,,,"2008.12",,,,,,
47,"Very interested",,,,,,"2008.12",,,,,,
9,"Very interested",,,,,,"2008.12",,,,,,
56,"Somewhat interested",,,,,,"2008.12",,,,,,
6,"Very interested",,,,,,"2008.12",,,,,,
59,"Somewhat interested",,,,,,"2008.12",,,,,,
55,"Very interested",,,,,,"2008.12",,,,,,
29,"Slightly interested",,,,,,"2008.12",,,,,,
7,"Somewhat interested",,,,,,"2008.12",,,,,,
25,"Somewhat interested",,,,,,"2008.12",,,,,,
36,"Slightly interested",,,,,,"2008.12",,,,,,
31,"Somewhat interested",,,,,,"2008.12",,,,,,
26,"Slightly interested",,,,,,"2008.12",,,,,,
72,"Very interested",,,,,,"2008.12",,,,,,
30,"Somewhat interested",,,,,,"2008.12",,,,,,
51,"Slightly interested",,,,,,"2008.12",,,,,,
63,"Very interested",,,,,,"2008.12",,,,,,
27,"Slightly interested",,,,,,"2008.12",,,,,,
21,"Somewhat interested",,,,,,"2008.12",,,,,,
43,"Slightly interested",,,,,,"2008.12",,,,,,
4,"Somewhat interested",,,,,,"2008.12",,,,,,
69,"Not at all interested",,,,,,"2008.12",,,,,,
15,"Somewhat interested",,,,,,"2008.12",,,,,,
16,"Somewhat interested",,,,,,"2008.12",,,,,,
11,"Not at all interested",,,,,,"2008.12",,,,,,
37,"Slightly interested",,,,,,"2008.12",,,,,,
1,"Somewhat interested",,,,,,"2008.12",,,,,,
49,"Not at all interested",,,,,,"2008.12",,,,,,
12,"Slightly interested",,,,,,"2008.12",,,,,,
64,"Somewhat interested",,,,,,"2008.12",,,,,,
35,"Very interested",,,,,,"2008.12",,,,,,
38,"Very interested",,,,,,"2008.12",,,,,,
22,"Very interested",,,,,,"2008.12",,,,,,
48,"Somewhat interested",,,,,,"2008.12",,,,,,
40,"Slightly interested",,,,,,"2008.12",,,,,,
41,"Slightly interested",,,,,,"2008.12",,,,,,
66,"Slightly interested",,,,,,"2008.12",,,,,,
62,"Slightly interested",,,,,,"2008.12",,,,,,
44,"Somewhat interested",,,,,,"2008.12",,,,,,
61,"Somewhat interested",,,,,,"2008.12",,,,,,
57,"Not at all interested",,,,,,"2008.12",,,,,,
32,"Slightly interested",,,,,,"2008.12",,,,,,
14,"Slightly interested",,,,,,"2008.12",,,,,,
54,"Very interested",,,,,,"2008.12",,,,,,
68,"Very interested",,,,,,"2008.12",,,,,,
67,"Very interested",,,,,,"2008.12",,,,,,
8,"Somewhat interested",,,,,,"2008.12",,,,,,
18,"Somewhat interested",,,,,,"2008.12",,,,,,
20,"Very interested",,,,,,"2008.12",,,,,,
2,"Slightly interested",,,,,,"2008.12",,,,,,
10,"Slightly interested",,,,,,"2008.12",,,,,,
60,"Slightly interested",,,,,,"2008.12",,,,,,
45,"Somewhat interested",,,,,,"2008.12",,,,,,
34,"Slightly interested",,,,,,"2008.12",,,,,,
46,"Somewhat interested",,,,,,"2008.12",,,,,,
52,"Somewhat interested",,,,,,"2008.12",,,,,,
28,"Slightly interested",,,,,,"2008.12",,,,,,
33,"Slightly interested",,,,,,"2008.12",,,,,,
24,"Somewhat interested",,,,,,"2008.12",,,,,,
58,"Slightly interested",,,,,,"2008.12",,,,,,
23,"Somewhat interested",,,,,,"2008.12",,,,,,
70,"Slightly interested",,,,,,"2008.12",,,,,,
3,"Slightly interested",,,,,,"2008.12",,,,,,
5,"Somewhat interested",,,,,,"2008.12",,,,,,
42,"Very interested",,,,,,"2008.12",,,,,,
65,"Very interested",,,,,,"2008.12",,,,,,
55,"Very interested",,,,,,"2009.03",,,,"Strongly Disapprove","Strongly Disapprove","Slightly Disapprove"
6,"Somewhat interested",,,,,,"2009.03",,,,"Slightly Approve","Don't Know","Slightly Approve"
29,"Slightly interested",,,,,,"2009.03",,,,"Don't Know","Don't Know","Don't Know"
58,"Slightly interested",,,,,,"2009.03",,,,"Strongly Approve","Don't Know","Strongly Approve"
47,"Very interested",,,,,,"2009.03",,,,"Slightly Disapprove","Strongly Disapprove","Slightly Disapprove"
49,"Not at all interested",,,,,,"2009.03",,,,"Don't Know","Don't Know","Don't Know"
65,"Very interested",,,,,,"2009.03",,,,"Slightly Approve","Slightly Approve","Slightly Approve"
68,"Somewhat interested",,,,,,"2009.03",,,,"Don't Know","Slightly Disapprove","Don't Know"
9,"Very interested",,,,,,"2009.03",,,,"Strongly Approve","Strongly Disapprove","Strongly Approve"
11,"Not at all interested",,,,,,"2009.03",,,,"Don't Know","Don't Know","Don't Know"
5,"Somewhat interested",,,,,,"2009.03",,,,"Don't Know","Don't Know","Don't Know"
